impound_no,Animal_ID,Data_Source,Record_Type,Link,Current_Location,Animal_Name,animal_type,Age,Animal_Gender,Animal_Breed,Animal_Color,Date,Date_Type,Obfuscated_Address,City,State,Zip,jurisdiction,obfuscated_latitude,obfuscated_longitude,Image,image_alt_text,Memo,Temperament
K22-143363,A651034,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A651034,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Freckles,Dog,10 YEARS 4 MONTHS,Neutered Male,Pit Bull / Pointer,Black / White,"Jan 18, 2022",Received on,21615 64TH AVE S,KENT,WA,98032,KENT,47.407788,-122.255197,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A651034,Image Copyright HLP Inc. 2022,"Received on: 2022-01-18<p/> Description: Black / White<p/>  Neutered Male Pit Bull / Pointer Dog<p/> Age: 10 YEARS 4 MONTHS<p/> Adoption Fee: $75.00<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>Hi! My name is Freckles and I am available for adoption.<p/><p/>I was brought in by my previous owner on October 19, 2021 because I was no longer an appropriate fit for their family. I am a sweet boy who both loves to snuggle and go for walks! I can be a bit dog selective so I will need to go home with someone that can identify appropriate play with other dogs. <p/><p/>I am an affectionate lovebug who would be thrilled to cuddle up with you at home!<p/><p/>I am full of energy and I love to play! I tend to calm down more when the people around me stay calm. I do best when I have lots of exercise and something to keep my mind busy.<p/><p/>My caregivers have observed that I might not get along with other dogs. I may do best as the only dog in my new home, or I may need a very slow introduction to other dogs.<p/><p/>I would do best in a home with older children.<p/><p/>I am able to jump 6ft fences.  I will have to go outside on leash so I don't escape to find new friends to play with.<p/><p/>My personality color is RED. I am a spirited dog with a fun-loving personality! I am still working on my manners, so I would do best with a family who is willing to work with me and help me become the best dog I can be!<p/><p/>I was nominated as the Pet of the Week on February 1, 2022. This means that my adoption fee has been reduced. Please note that a pet license is a requirement and therefore a fee may be applied. This helps my safe return home should I become lost, and comes with additional benefits such as Vacation Pet Alert, Free Ride Home and more (visit our pet licensing page for more info)!<p/>",RED
K22-143124,A655703,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2378069,In Public Home,,Dog,Unknown<p/>,Male,Australian Shepherd,White,"Jan 07, 2022",Date Found,112TH  & 1ST AVE S,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2378069,Image Copyright HLP Inc. 2022,"<p/>Age: Unknown<p/>Found Near: 112th & 1st Ave S, Seattle WA  98168<p/>Found Date: 2022-01-07<p/>",
K22-143528,A656777,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2386798,LOST,Mocha,Dog,Over 1 year<p/>,Female,Chihuahua - Smooth Coated,Brown,"Jan 25, 2022",Date Lost,TURING  ST AND 152ND AVE NE,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2386798,Image Copyright HLP Inc. 2022,"Description: Tan Chihuahua with purple vest on. White spot on forehead. <p/>Age: Over 1 year<p/>Location Lost: Turing St and 152nd Ave NE , Redmond WA  98052<p/>Lost Date: 2022-01-25<p/>",
K22-143784,A657289,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2391596,LOST,Juice,Dog,Over 1 year<p/>,Male,Pug,Unknown,"Feb 03, 2022",Date Lost,19500 block of  NE 195TH WOODINVILLIE,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2391596,Image Copyright HLP Inc. 2022,"Description: He is 2 years old. Kinda small but a chunk and had brindle coat. Straight eyes<p/>Age: Over 1 year<p/>Location Lost: 19501 NE 195th woodinvillie , Woodinville WA  98072<p/>Lost Date: 2022-02-03<p/>",
K22-143334,A656210,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2382433,LOST,Elliott,Cat,Over 1 year<p/>,Male,Domestic Shorthair,Brown,"Jan 14, 2022",Date Lost,W  32ND ST AND COLUMBIA ST,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2382433,Image Copyright HLP Inc. 2022,"Description: 10.5lb tabby, white paws and white chin/chest. Some golden coloring underneath and slight belly hang. <p/>Age: Over 1 year<p/>Location Lost: W 32nd St and Columbia St, Vancouver WA  98660<p/>Lost Date: 2022-01-14<p/>",
K22-143613,A656945,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2388562,LOST,Francis Aka,Dog,Over 1 year<p/>,Female,Pit Bull,Black,"Jan 29, 2022",Date Lost,6000 block of  E LAKE SAMMAMISH PKWY NE,REDMOND,WA,98052,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2388562,Image Copyright HLP Inc. 2022,"<p/>Age: Over 1 year<p/>Location Lost: 6046 E Lake Sammamish Pkwy NE Redmond, WA  98052, Redmond WA  98052<p/>Lost Date: 2022-01-29<p/>",
K22-143908,A657617,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2393915,LOST,Mocha,Dog,Under 1 year<p/>,Male,Labrador Retriever,Brown,"Feb 02, 2022",Date Lost,136TH  & 148TH,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2393915,Image Copyright HLP Inc. 2022,"<p/>Age: Under 1 year<p/>Location Lost: 136th & 148th, Auburn WA  98092<p/>Lost Date: 2022-02-02<p/>",
K22-143577,A656875,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2387697,LOST,Koda,Dog,Under 1 year<p/>,Male,Australian Shepherd,Unknown,"Jan 25, 2022",Date Lost,S  228TH ST AND RIVERVIEW BLVD S,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2387697,Image Copyright HLP Inc. 2022,"Description: He is an Australian Shepard and golden retriever mix. He has one blue eye and one brown eye. He has floppy ears. Has a brown spot on his back near his butt. Kinda has coloring more toward a Australian Shepard. <p/>Age: Under 1 year<p/>Location Lost: S 228th st and Riverview blvd s, Kent WA  98031<p/>Lost Date: 2022-01-25<p/>",
K22-143546,A656815,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2387102,LOST,Cooty,Dog,Over 1 year<p/>,Female,Pit Bull,White,"Jan 23, 2022",Date Lost,116TH  STREET NEAR CHEVRON AND SONIC,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2387102,Image Copyright HLP Inc. 2022,"Description: Cooty is mostly white with tan patch on one eye. Has on pink collar with studs and a heart emblem. She's a rescue and scared of men. <p/>Age: Over 1 year<p/>Location Lost: 116th Street near Chevron and Sonic, Kent WA  98030<p/>Lost Date: 2022-01-23<p/>",
K22-143590,A656912,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2388220,LOST,Enzo,Cat,Under 1 year<p/>,Male,Russian Blue,Unknown,"Jan 14, 2022",Date Lost,MAY  VALLEY ROAD,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2388220,Image Copyright HLP Inc. 2022,"Description: 11 week old adorable kitten with distinct markings on his arms and no<p/>Age: Under 1 year<p/>Location Lost: May valley road , Issaquah WA  98027<p/>Lost Date: 2022-01-14<p/>",
K22-143342,A656257,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2382880,In Public Home,Dwar,Cat,Unknown<p/>,Male,Domestic Shorthair,Unknown,"Jan 16, 2022",Date Found,2600 block of  156TH AVE NE,REDMOND,WA,98052,REDMOND,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2382880,Image Copyright HLP Inc. 2022,Description: Medium sized cat. Gray color with darker spots. It is very friendly and has a small head.<p/>Age: Unknown<p/>Found Near: 2600 block of  156TH AVE NE<p/>Found Date: 2022-01-16<p/>,
K22-143872,A657489,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2393080,LOST,Shaggy,Dog,Over 1 year<p/>,Male,Labrador Retriever,Unknown,"Feb 02, 2022",Date Lost,SHATTUCK  AVE SOUTH,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2393080,Image Copyright HLP Inc. 2022,"<p/>Age: Over 1 year<p/>Location Lost: Shattuck Ave south , Renton WA  98055<p/>Lost Date: 2022-02-02<p/>",
K22-143380,A656348,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2383702,LOST,Blaze,Cat,Over 1 year<p/>,Male,Domestic Mediumhair,Unknown,"Jan 11, 2022",Date Lost,9800 block of  S 222ND ST,KENT,WA,98031,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2383702,Image Copyright HLP Inc. 2022,"Description: Blaze is grey and white striped with m on his forehead.  He has a very bushy tail white belly and is very fat. He has not been fixed<p/>Age: Over 1 year<p/>Location Lost: 9845 s 222nd st, Kent WA  98031<p/>Lost Date: 2022-01-11<p/>",
K22-144032,A658024,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A658024,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Dorothy,Dog,6 YEARS,Female,Rottweiler,Black / Tan,"Feb 15, 2022",Received on,33000 block of  E LAKE HOLM DR SE,AUBURN,WA,98092,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A658024,Image Copyright HLP Inc. 2022,"Received on: 2022-02-15<p/> Found Near: 33000 block of  E LAKE HOLM DR SE<p/> Description: Black / Tan Female Rottweiler Dog<p/> Age: 6 YEARS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",BLUE
K22-143785,A657292,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2391610,LOST,Juice,Dog,Over 1 year<p/>,Male,Pug,Unknown,"Feb 03, 2022",Date Lost,19500 block of  NE 195TH WOODINVILLIE,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2391610,Image Copyright HLP Inc. 2022,"Description: He is 2 years old. Kinda small but a chunk and had brindle coat. Straight eyes<p/>Age: Over 1 year<p/>Location Lost: 19501 NE 195th woodinvillie , Woodinville WA  98072<p/>Lost Date: 2022-02-03<p/>",
K22-144019,A657985,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2396281,LOST,Zoom,Cat,Over 1 year<p/>,Female,Russian Blue,Unknown,"Feb 14, 2022",Date Lost,3000 block of  22ND AVE W,SEATTLE,WA,98199,SEATTLE,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2396281,Image Copyright HLP Inc. 2022,"Description: 15 y/o female Russian blue, light grey, on the skinny side, very friendly.<p/>Age: Over 1 year<p/>Location Lost: 3045 22nd Ave West, Seattle WA  98199<p/>Lost Date: 2022-02-14<p/>",
K22-143172,A655804,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2379199,LOST,Tobi,Dog,Under 1 year<p/>,Male,American Pit Bull Terrier,Brown,"Jan 09, 2022",Date Lost,10600 block of  14TH AVE SW,SEATTLE,WA,98146,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2379199,Image Copyright HLP Inc. 2022,"Description: Pit bull mixed with husky. He has brown eyes. Brown coat, white chest. Two white brown spots. 7 months. 30-40 pounds. Not neutered <p/>Age: Under 1 year<p/>Location Lost: 10670 14th Ave SW Seattle, WA, Seattle WA  98146<p/>Lost Date: 2022-01-09<p/>",
K22-143458,A656580,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2385175,LOST,Champ,Dog,Over 1 year<p/>,Male,Pit Bull,Unknown,"Jan 22, 2022",Date Lost,S  164TH ST @ MILITARY RD,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2385175,Image Copyright HLP Inc. 2022,"Description: Black and white with black mask on face<p/>Age: Over 1 year<p/>Location Lost: S 164th St @ Military Rd, Seattle WA  98188<p/>Lost Date: 2022-01-22<p/>",
K22-143688,A657057,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2389649,LOST,Smokey,Cat,Over 1 year<p/>,Male,Domestic Shorthair,Unknown,"Jan 17, 2022",Date Lost,17TH  ST SE AND FIR ST SE,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2389649,Image Copyright HLP Inc. 2022,"Description: Grey male cat with pink nose. He has some markings on his tail.<p/>Age: Over 1 year<p/>Location Lost: 17th St SE and Fir St SE, Auburn WA  98092<p/>Lost Date: 2022-01-17<p/>",
K22-143536,A656795,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2386977,LOST,Mocha,Dog,Over 1 year<p/>,Female,Chihuahua - Smooth Coated,Brown,"Jan 25, 2022",Date Lost,TURING  ST AND 152ND AVE NE,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2386977,Image Copyright HLP Inc. 2022,"Description: Tan Chihuahua with purple vest on. White spot on forehead. <p/>Age: Over 1 year<p/>Location Lost: Turing St and 152nd Ave NE , Redmond WA  98052<p/>Lost Date: 2022-01-25<p/>",
K22-143740,A657156,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2390572,LOST,Riku,Cat,Over 1 year<p/>,Male,Domestic Shorthair,Unknown,"Feb 01, 2022",Date Lost,14900 block of  SE 272ND ST,KENT,WA,98042,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2390572,Image Copyright HLP Inc. 2022,"Description: He isn't neutered.<p/>Age: Over 1 year<p/>Location Lost: 14901  SE  272nd st, Kent WA  98042<p/>Lost Date: 2022-02-01<p/>",
K22-143945,A657738,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A657738,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Love,Rat,NO AGE,Female,Rat,Pink,"Feb 10, 2022",Received on,21615 64TH AVE S,KENT,WA,98032,KENT,47.407788,-122.255197,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A657738,Image Copyright HLP Inc. 2022,"Received on: 2022-02-10<p/> Description: Pink<p/>  Female Rat Rat<p/> Age: NO AGE<p/> Adoption Fee: $5.00<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>Hi! My name is Love and I am available for adoption.<p/><p/>I was brought in by an Animal Control Officer on February 10th, 2022.<p/><p/>My personality color is BLUE. I am a gentle and loving rat who likes to take things slow. I may get nervous in new situations, so I am looking for a family who understands that I might need some time to warm up. Once I get to know you, I will be a very devoted friend!<p/><p/><p/>",BLUE
K22-143697,A657066,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2389838,LOST,Bruno,Dog,Over 1 year<p/>,Male,Boston Terrier,Black,"Jan 31, 2022",Date Lost,217TH  ST AND 124TH ST,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2389838,Image Copyright HLP Inc. 2022,"Description: Black and white. One sock on leg is longer than other. Does not have collar on<p/>Age: Over 1 year<p/>Location Lost: 217th ST and 124th ST, Kent WA  98031<p/>Lost Date: 2022-01-31<p/>",
K22-143704,A657091,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2389939,LOST,Selma,Dog,Under 1 year<p/>,Female,Pembroke Welsh Corgi,Black,"Feb 01, 2022",Date Lost,400 block of  ALPINE WAY,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2389939,Image Copyright HLP Inc. 2022,"Description: Black tri color, 6 months old<p/>Age: Under 1 year<p/>Location Lost: 417 Alpine Way, Kent WA  98030<p/>Lost Date: 2022-02-01<p/>",
K22-143934,A657722,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A657722,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Candy,Rat,NO AGE,Female,Rat,Brown / White,"Feb 10, 2022",Received on,2600 block of  BELLEVUE WAY NE,BELLEVUE,WA,98004,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A657722,Image Copyright HLP Inc. 2022,"Received on: 2022-02-10<p/> Found Near: 2600 block of  BELLEVUE WAY NE<p/> Description: Brown / White Female Rat Rat<p/> Age: NO AGE<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",BLUE
K21-139237,A646224,Regional Animal Services of King County,ADOPTABLE,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,In RASKC Foster Home,Robyn,Cat,11 YEARS 5 MONTHS,Spayed Female,Siamese,Seal Pt,"Aug 20, 2021",Received on,21615 64TH AVE S,KENT,WA,98032,SEATAC,47.407788,-122.255197,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A646224,Image Copyright HLP Inc. 2022,"Received on: 2021-08-20<p/> Description: Seal Pt Spayed Female Siamese Cat<p/> Age: 11 YEARS 5 MONTHS<p/> Adoption Fee: $30.00<p/> Current Location: In RASKC Foster Home <p/>Hi! My name is Robyn and I am available for adoption.<p/><p/>I was brought in by a good Samaritan on August 20, 2021.<p/><p/>I am an can be affectionate if you let me get used to you.<p/><p/>I am an independent kitty who likes to do my own thing!<p/><p/>I like getting attention on my own terms. I can get overstimulated with petting, so please move carefully with me and keep an eye out for signs that I might need a break.<p/><p/>I was previously declawed on my front paws. Because I can't protect myself outside, I need to be an indoor-only cat.<p/><p/>Because of my shy nature, I would do best in a calm, quiet home.<p/><p/>My personality color is RED. I am a spirited cat with a fun-loving personality that will take time to warm up to you. I may be sensitive to handling, so I would do best in a home with a cat savvy family who knows when to give me some space.<p/><p/>Current medical conditions are noted below.<p/><p/>1)  Grade 2/6 heart murmur- A heart murmur was detected on physical examination.  This means there is an abnormal heart sound when we listen to the heart.  In some animals, this can indicate heart disease.  However, other animals can have heart murmurs and never show any symptoms of heart disease.  We recommend that you follow up with your regular veterinarian.  Please see the handout for more information about this condition.<p/><p/>2)  This animal has been diagnosed as hyperthyroid.  This means that thyroid gland is producing an excess of hormones.  This disease can be easily managed with daily medication, radioactive iodine treatment or prescription diet.  Please follow up with you regular veterinarian to create a treatment plan.  We have also included a handout with more information about this disease.<p/>",RED
K22-143341,A656249,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2382822,LOST,Bear,Dog,Over 1 year<p/>,Male,German Shepherd,Black,"Jan 17, 2022",Date Lost,2400 block of  SW 328TH ST,FEDERAL WAY,WA,98023,FEDERAL WAY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2382822,Image Copyright HLP Inc. 2022,"Description: He’s all black with some tan on his paws has bald spots cause he had a skin infection <p/>Age: Over 1 year<p/>Location Lost: 2453 Sw 328th ST, Federal Way WA  98023<p/>Lost Date: 2022-01-17<p/>",
K22-143335,A656211,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2382439,LOST,Peppie,Dog,Over 1 year<p/>,Male,Chihuahua - Long Haired,Black,"Jan 16, 2022",Date Lost,1400 block of  S. PUGET DR,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2382439,Image Copyright HLP Inc. 2022,"Description: He's is old can't hear ,black and white , has tags on his collar but his out of date  and not current.   He is SKIDISH and old<p/>Age: Over 1 year<p/>Location Lost: 1455 S. Puget Dr k104, K104, Renton WA  98055<p/>Lost Date: 2022-01-16<p/>",
K22-143761,A657234,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2391174,LOST,Mira,Cat,Over 1 year<p/>,Female,Domestic Shorthair,Black,"Jan 31, 2022",Date Lost,18500 block of  114TH AVE SE,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2391174,Image Copyright HLP Inc. 2022,"Description: Black and White spotted cat. All black tail and all white paws. green eyes. <p/>Age: Over 1 year<p/>Location Lost: 18543 114th Ave SE, Renton WA  98055<p/>Lost Date: 2022-01-31<p/>",
K22-143945,A657738,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A657738,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Love,Rat,NO AGE,Female,Rat,Pink,"Feb 10, 2022",Received on,2600 block of  BELLEVUE WAY NE,BELLEVUE,WA,98004,BELLEVUE,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A657738,Image Copyright HLP Inc. 2022,"Received on: 2022-02-10<p/> Found Near: 2600 block of  BELLEVUE WAY NE<p/> Description: Pink Female Rat Rat<p/> Age: NO AGE<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",BLUE
K22-143953,A657754,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2394790,LOST,Ophelia,Cat,Over 1 year<p/>,Female,Abyssinian,Brown,"Feb 03, 2022",Date Lost,S.  MASSACHUSETTS & 25TH AVE SOUTH (SEATTLE,9,,,SEATTLE,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2394790,Image Copyright HLP Inc. 2022,"Description: 2 years old. no collar. spayed. microchipped. tiger-striped. friendly & shy. very long nails. skinny & long. <p/>Age: Over 1 year<p/>Location Lost: S. Massachusetts & 25th Ave South (Seattle, WA 98144), Seattle WA  98144<p/>Lost Date: 2022-02-03<p/>",
K22-143944,A657737,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A657737,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Cherub,Rat,NO AGE,Male,Rat,Pink,"Feb 10, 2022",Received on,21615 64TH AVE S,KENT,WA,98032,KENT,47.407788,-122.255197,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A657737,Image Copyright HLP Inc. 2022,"Received on: 2022-02-10<p/> Description: Pink<p/>  Male Rat Rat<p/> Age: NO AGE<p/> Adoption Fee: $5.00<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>Hi! My name is Cherub and I am available for adoption.<p/><p/>I was brought in by an Animal Control Officer on February 10th, 2022.<p/><p/>My personality color is BLUE. I am a gentle and loving rat who likes to take things slow. I may get nervous in new situations, so I am looking for a family who understands that I might need some time to warm up. Once I get to know you, I will be a very devoted friend!<p/><p/><p/>",BLUE
K22-144046,A658096,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A658096,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",,Cat,NO AGE,Male,Domestic Shorthair,Brown / White,"Feb 16, 2022",Received on,25900 block of  129TH PL SE,KENT,WA,98030,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A658096,Image Copyright HLP Inc. 2022,"Received on: 2022-02-16<p/> Found Near: 25900 block of  129TH PL SE<p/> Description: Brown / White Male Domestic Shorthair Cat<p/> Age: NO AGE<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K22-143993,A657867,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A657867,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Waylay,Guinea Pig,2 YEARS,Female,Guinea Pig,White / Red,"Feb 13, 2022",Received on,18700 block of  SE GREEN VALLEY RD,AUBURN,WA,98092,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A657867,Image Copyright HLP Inc. 2022,"Received on: 2022-02-13<p/> Found Near: 18700 block of  SE GREEN VALLEY RD<p/> Description: White / Red Female Guinea Pig Guinea Pig<p/> Age: 2 YEARS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",GREEN
K22-143929,A657690,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2394494,LOST,Alisa,Cat,Under 1 year<p/>,Female,Domestic Shorthair,Brown,"Feb 06, 2022",Date Lost,22400 block of  202ND AVE SE,MAPLE VALLEY,WA,98038,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2394494,Image Copyright HLP Inc. 2022,"Description: Small to medium sized cat. Brown tabby with white chest and white socks. <p/>Age: Under 1 year<p/>Location Lost: 22429 202nd Ave SE, Maple Valley, Maple Valley WA  98038<p/>Lost Date: 2022-02-06<p/>",
K22-143592,A656914,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2388241,In Public Home,,Dog,Over 1 year<p/>,Female,Australian Shepherd,Unknown,"Jan 28, 2022",Date Found,E.  GWINN PLACE - HARVARD AVE EAST,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2388241,Image Copyright HLP Inc. 2022,"Description: Older, deaf dog. Black and brindle spotted coat <p/>Age: Over 1 year<p/>Found Near: E. Gwinn Place - Harvard Ave East, Seattle WA  98102<p/>Found Date: 2022-01-28<p/>",
